,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT,total,total_sum
126,-0.0,-0.0,0.0,-0.001,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.109,2.145000000000001
127,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.131,2.2760000000000007
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.106,2.3820000000000006
129,0.0,0.001,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.097,2.4790000000000005
130,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,2.5150000000000006
131,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.085,2.4300000000000006
132,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.235,2.1950000000000007
133,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.032,2.2270000000000008
134,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,2.315000000000001
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.288,2.6030000000000006
136,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.053,2.6560000000000006
137,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.072,2.7280000000000006
138,0.0,0.0,-0.0,0.0,0.001,0.0,0.0,-0.0,-0.0,0.0,0.182,2.9100000000000006
139,0.0,0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.163,2.7470000000000008
140,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.225,2.972000000000001
141,0.002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.273,3.245000000000001
142,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,3.354000000000001
143,-0.001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.142,3.212000000000001
144,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.174,3.386000000000001
145,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.02,3.406000000000001
146,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.01,3.416000000000001
147,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.416000000000001
148,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.0,0.0,0.0,0.258,3.674000000000001
149,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.042,3.632000000000001
150,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.309,3.941000000000001
151,0.0,-0.001,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.113,3.828000000000001
152,0.0,-0.001,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.095,3.733000000000001
153,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.076,3.657000000000001
154,-0.0,-0.002,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.354,3.303000000000001
155,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,3.5630000000000006
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,3.5980000000000008
157,0.0,-0.0,0.0,0.0,0.001,0.0,0.0,0.001,-0.0,0.0,0.184,3.782000000000001
158,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.001,3.783000000000001
159,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.146,3.9290000000000007
160,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.001,0.0,0.0,0.181,4.11
161,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.133,4.243
162,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.001,0.0,0.0,0.153,4.396
163,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.024,4.372
164,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.087,4.459
165,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.276,4.734999999999999
166,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.006,4.741
167,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.109,4.632
168,0.0,0.001,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.003,1.149,5.781
169,0.0,0.001,0.001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.194,5.975
170,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,6.233
171,-0.0,0.0,-0.002,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.267,5.965999999999999
172,-0.0,0.0,-0.001,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.042,5.9239999999999995
173,0.0,0.003,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.376,6.3
174,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.048,6.252
175,0.0,0.002,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.265,6.5169999999999995
176,0.0,0.0,-0.0,-0.001,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.163,6.353999999999999
177,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.075,6.278999999999999
178,-0.002,-0.0,-0.0,-0.003,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.605,5.6739999999999995
179,0.0,0.0,0.0,0.001,0.0,0.0,0.0,-0.0,0.0,0.0,0.16,5.834
180,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.511,6.345
181,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.05,6.295
182,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.037,6.332
183,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.038,6.294
184,0.0,-0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.141,6.435
185,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.141,6.294
186,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.074,6.22
187,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.062,6.282
188,-0.0,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.12,6.402
189,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.205,6.607
190,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.214,6.821000000000001
191,0.0,0.003,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.446,7.267
192,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.253,7.5200000000000005
193,-0.0,-0.001,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.238,7.282
194,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.001,-0.0,-0.188,7.094
195,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.12,7.214
196,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.002,0.0,0.209,7.423
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.223,7.646
198,0.0,-0.0,0.001,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.001,-0.008,7.638
199,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.195,7.833
200,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.043,7.876
201,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.005,7.871
202,-0.0,0.0,-0.0,-0.0,0.001,0.0,-0.0,-0.0,-0.0,-0.0,0.057,7.928000000000001
203,0.0,0.0,-0.0,0.0,-0.0,0.001,-0.0,-0.0,0.0,-0.0,0.093,8.021
204,-0.0,-0.002,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,0.0,-0.0,-0.401,7.620000000000001
205,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.003,-0.0,0.0,-0.271,7.349000000000001
206,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.002,-0.0,0.0,-0.272,7.077000000000001
207,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.001,-0.057,7.0200000000000005
208,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03,6.99
209,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.017,7.007000000000001
210,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.007,7.014
211,-0.0,0.001,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.13,7.144
212,0.0,-0.001,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.065,7.079
213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.07,7.0089999999999995
214,-0.001,-0.0,0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.001,-0.286,6.723
215,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.023,6.7459999999999996
216,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.06,6.686
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,6.74
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,6.835
219,0.0,-0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,6.939
220,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,7.12
