,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT
164-169,0.0,0.0,0.846,0.0,0.0,0.0,0.0,0.0,0.154,0.0
165-170,0.0,0.0,0.845,0.0,0.0,0.0,0.0,0.0,0.155,0.0
166-171,0.0,0.189,0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167-172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168-173,0.0,0.796,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0
169-174,0.0,0.618,0.0,0.382,0.0,0.0,0.0,0.0,0.0,0.0
170-175,0.0,0.0,0.0,0.512,0.408,0.08,0.0,0.0,0.0,0.0
171-176,0.312,0.0,0.0,0.253,0.435,0.0,0.0,0.0,0.0,0.0
172-177,0.301,0.0,0.0,0.636,0.0,0.0,0.0,0.063,0.0,0.0
173-178,0.0,0.0,0.0,0.635,0.0,0.0,0.0,0.0,0.365,0.0
174-179,0.0,0.0,0.289,0.0,0.0,0.0,0.0,0.0,0.711,0.0
175-180,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
176-181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177-182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178-183,0.0,0.0,0.0,0.614,0.0,0.0,0.0,0.0,0.386,0.0
179-184,0.0,0.0,0.0,0.802,0.0,0.0,0.0,0.0,0.198,0.0
180-185,0.0,0.265,0.0,0.364,0.0,0.0,0.371,0.0,0.0,0.0
181-186,0.0,0.668,0.0,0.0,0.0,0.0,0.0,0.036,0.296,0.0
182-187,0.0,0.6,0.0,0.0,0.0,0.129,0.0,0.016,0.255,0.0
183-188,0.0,0.739,0.0,0.0,0.261,0.0,0.0,0.0,0.0,0.0
184-189,0.0,0.531,0.0,0.416,0.0,0.052,0.0,0.0,0.0,0.0
185-190,0.0,0.698,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.0
186-191,0.0,0.102,0.569,0.0,0.0,0.0,0.0,0.0,0.328,0.0
187-192,0.0,0.211,0.697,0.0,0.0,0.0,0.0,0.0,0.093,0.0
188-193,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.718,0.0
189-194,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,0.559,0.0
190-195,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.625,0.0
191-196,0.0,0.0,0.287,0.0,0.195,0.0,0.187,0.0,0.331,0.0
192-197,0.0,0.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.444
193-198,0.0,0.0,0.0,0.0,0.154,0.416,0.0,0.111,0.0,0.319
194-199,0.001,0.002,0.005,0.001,0.381,0.096,0.0,0.269,0.246,0.001
195-200,0.0,0.076,0.0,0.0,0.0,0.71,0.0,0.069,0.144,0.0
196-201,0.0,0.272,0.0,0.0,0.583,0.0,0.0,0.0,0.145,0.0
197-202,0.0,0.206,0.0,0.0,0.431,0.358,0.0,0.0,0.005,0.0
198-203,0.0,0.347,0.0,0.0,0.276,0.377,0.0,0.0,0.0,0.0
199-204,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.949,0.038,0.0
200-205,0.0,0.0,0.198,0.25,0.0,0.0,0.0,0.339,0.0,0.212
201-206,0.0,0.0,0.0,0.402,0.0,0.0,0.002,0.142,0.0,0.455
202-207,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.188,0.0,0.579
203-208,0.0,0.0,0.0,0.052,0.0,0.195,0.0,0.0,0.373,0.38
204-209,0.0,0.286,0.052,0.0,0.106,0.003,0.0,0.0,0.0,0.553
205-210,0.0,0.47,0.0,0.0,0.001,0.197,0.0,0.0,0.0,0.332
206-211,0.328,0.211,0.0,0.072,0.082,0.0,0.182,0.0,0.0,0.125
207-212,0.346,0.015,0.0,0.0,0.0,0.153,0.25,0.0,0.0,0.237
208-213,0.4,0.0,0.0,0.0,0.043,0.302,0.0,0.0,0.0,0.255
